               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033639,            0.010514,           0.0095763,             0.98008,             0.97765,             0.98989,             0.84832,            0.021835,           0.0043699,           0.0082435,            0.006535,            0.006535,            0.006535
                  37,            0.031621,            0.010463,           0.0093681,             0.98402,             0.98889,             0.99039,               0.854,            0.022189,           0.0042916,           0.0083217,            0.006436,            0.006436,            0.006436
                  38,            0.032111,            0.010282,           0.0083673,              0.9755,              0.9608,             0.98849,             0.84475,            0.022816,           0.0041669,           0.0082979,            0.006337,            0.006337,            0.006337
                  39,            0.030981,             0.01013,           0.0084625,             0.96905,             0.97053,             0.98514,              0.8615,             0.02085,           0.0041157,           0.0085896,            0.006238,            0.006238,            0.006238
                  40,            0.030582,            0.010047,           0.0085133,             0.98434,             0.96719,             0.98821,             0.84575,            0.022096,            0.004167,           0.0084931,            0.006139,            0.006139,            0.006139
                  41,            0.031368,            0.010292,           0.0084402,             0.98337,             0.97445,             0.98985,             0.83197,            0.021803,              0.0041,           0.0083321,             0.00604,             0.00604,             0.00604
                  42,            0.031091,           0.0097804,            0.007987,             0.97506,             0.97536,             0.98827,             0.85164,            0.021269,           0.0040364,           0.0082319,            0.005941,            0.005941,            0.005941
                  43,            0.031108,            0.009551,           0.0088979,              0.9772,             0.95661,             0.98918,             0.84965,             0.02084,           0.0041827,           0.0082941,            0.005842,            0.005842,            0.005842
                  44,             0.03062,            0.010427,           0.0089392,             0.97082,             0.97765,             0.98935,             0.86049,            0.020981,           0.0041259,           0.0082294,            0.005743,            0.005743,            0.005743
                  45,            0.030591,            0.009874,           0.0084845,             0.97662,             0.97765,             0.98912,             0.86114,              0.0211,           0.0045986,            0.008345,            0.005644,            0.005644,            0.005644
                  46,            0.028719,           0.0091642,           0.0091599,             0.97086,             0.97686,             0.98741,             0.87922,             0.02044,           0.0040102,           0.0081346,            0.005545,            0.005545,            0.005545
                  47,            0.030315,            0.010811,           0.0086834,             0.97805,             0.99451,             0.99049,               0.878,            0.020597,           0.0040447,           0.0082209,            0.005446,            0.005446,            0.005446
                  48,            0.029035,           0.0098247,           0.0084727,             0.96896,             0.96486,             0.98345,              0.8609,            0.021106,           0.0042068,           0.0082568,            0.005347,            0.005347,            0.005347
                  49,            0.027998,            0.009463,           0.0082159,             0.97408,              0.9608,             0.98917,             0.86813,            0.020451,           0.0039256,           0.0080513,            0.005248,            0.005248,            0.005248
